TimeCoordinate,Channel_1,Channel_2,Label
0,0.5161,0.5816,Extension
1,0.5015,0.5552,Extension
2,0.5054,0.563,Extension
3,0.4751,0.5152,Extension
4,0.4897,0.5337,Extension
5,0.5152,0.5826,Extension
6,0.5181,0.5777,Extension
7,0.5347,0.5904,Extension
8,0.5288,0.608,Extension
9,0.5152,0.5406,Extension
10,0.6109,0.7224,Extension
11,0.6716,0.8025,Extension
12,0.6012,0.7028,Extension
13,0.5435,0.6285,Extension
14,0.5474,0.6012,Extension
15,0.5015,0.5425,Extension
16,0.4848,0.5142,Extension
17,0.4917,0.5386,Extension
18,0.4927,0.5455,Extension
19,0.5142,0.5767,Extension
-,-,-,-
0,0.5259,0.6012,Extension
1,0.5015,0.5562,Extension
2,0.5044,0.5611,Extension
3,0.4868,0.5484,Extension
4,0.479,0.5249,Extension
5,0.4966,0.5494,Extension
6,0.5122,0.5797,Extension
7,0.5464,0.5855,Extension
8,0.6481,0.8348,Extension
9,0.7312,0.7683,Extension
10,0.6129,0.6588,Extension
11,0.5054,0.5865,Extension
12,0.4848,0.5318,Extension
13,0.4868,0.5298,Extension
14,0.5161,0.5963,Extension
15,0.5494,0.6452,Extension
16,0.5298,0.607,Extension
17,0.4927,0.5474,Extension
18,0.4565,0.4995,Extension
19,0.4418,0.4741,Extension
-,-,-,-
0,0.4927,0.5513,Extension
1,0.5611,0.6569,Extension
2,0.566,0.6588,Extension
3,0.5406,0.6158,Extension
4,0.479,0.5191,Extension
5,0.4252,0.434,Extension
6,0.4927,0.5298,Extension
7,0.5425,0.6764,Extension
8,0.6364,0.7918,Extension
9,0.6843,0.8055,Extension
10,0.564,0.6637,Extension
11,0.4506,0.4751,Extension
12,0.433,0.4575,Extension
13,0.4712,0.5132,Extension
14,0.5298,0.5943,Extension
15,0.5953,0.7028,Extension
16,0.5699,0.6706,Extension
17,0.4878,0.5464,Extension
18,0.4506,0.5005,Extension
19,0.4614,0.5044,Extension
-,-,-,-
0,0.4995,0.5543,Extension
1,0.5552,0.6422,Extension
2,0.5513,0.6305,Extension
3,0.5171,0.5787,Extension
4,0.5122,0.607,Extension
5,0.4946,0.5758,Extension
6,0.5738,0.7146,Extension
7,0.608,0.7439,Extension
8,0.5601,0.653,Extension
9,0.5249,0.5934,Extension
10,0.52,0.5855,Extension
11,0.4956,0.5591,Extension
12,0.5103,0.5689,Extension
13,0.5259,0.6002,Extension
14,0.5044,0.5582,Extension
15,0.4848,0.5327,Extension
16,0.4985,0.5572,Extension
17,0.5005,0.563,Extension
18,0.5171,0.5787,Extension
19,0.5318,0.607,Extension
-,-,-,-
0,0.52,0.5738,Extension
1,0.5132,0.653,Extension
2,0.6051,0.7224,Extension
3,0.6491,0.6804,Extension
4,0.5738,0.653,Extension
5,0.5474,0.6422,Extension
6,0.5337,0.5992,Extension
7,0.4995,0.5474,Extension
8,0.5024,0.5543,Extension
9,0.4907,0.5455,Extension
10,0.4917,0.5464,Extension
11,0.5337,0.6109,Extension
12,0.5308,0.6041,Extension
13,0.5132,0.5767,Extension
14,0.5122,0.5777,Extension
15,0.4819,0.5337,Extension
16,0.477,0.5259,Extension
17,0.5083,0.5709,Extension
18,0.5152,0.5797,Extension
19,0.5269,0.5816,Extension
-,-,-,-
0,0.564,0.6295,Extension
1,0.5826,0.6266,Extension
2,0.5142,0.5914,Extension
3,0.5034,0.5797,Extension
4,0.5064,0.5591,Extension
5,0.5093,0.5679,Extension
6,0.5347,0.6178,Extension
7,0.5357,0.6061,Extension
8,0.5171,0.5865,Extension
9,0.5093,0.5855,Extension
10,0.48,0.5288,Extension
11,0.4712,0.5132,Extension
12,0.5152,0.5924,Extension
13,0.5435,0.6276,Extension
14,0.5543,0.6481,Extension
15,0.5562,0.653,Extension
16,0.4985,0.5611,Extension
17,0.4457,0.4741,Extension
18,0.4741,0.5279,Extension
19,0.5142,0.5914,Extension
-,-,-,-
0,0.567,0.6716,Extension
1,0.5943,0.7067,Extension
2,0.5474,0.6315,Extension
3,0.4633,0.4966,Extension
4,0.4418,0.4682,Extension
5,0.477,0.5259,Extension
6,0.5337,0.5973,Extension
7,0.6129,0.7087,Extension
8,0.6696,0.8025,Extension
9,0.6334,0.7067,Extension
10,0.4682,0.5494,Extension
11,0.4457,0.4751,Extension
12,0.4643,0.5073,Extension
13,0.5347,0.609,Extension
14,0.5709,0.6588,Extension
15,0.5357,0.6041,Extension
16,0.48,0.5347,Extension
17,0.4614,0.4995,Extension
18,0.4555,0.4907,Extension
19,0.5054,0.5621,Extension
-,-,-,-
0,0.5591,0.651,Extension
1,0.5415,0.6178,Extension
2,0.5103,0.5738,Extension
3,0.4858,0.5425,Extension
4,0.4721,0.5122,Extension
5,0.5044,0.5415,Extension
6,0.5503,0.6149,Extension
7,0.6119,0.6804,Extension
8,0.5689,0.7546,Extension
9,0.5308,0.6285,Extension
10,0.5083,0.5816,Extension
11,0.522,0.5816,Extension
12,0.5259,0.5885,Extension
13,0.4946,0.5445,Extension
14,0.4809,0.521,Extension
15,0.4976,0.5503,Extension
16,0.5034,0.5484,Extension
17,0.5259,0.5894,Extension
18,0.5347,0.6012,Extension
19,0.5073,0.5621,Extension
-,-,-,-
0,0.4809,0.5152,Extension
1,0.4917,0.5406,Extension
2,0.4858,0.521,Extension
3,0.5142,0.5738,Extension
4,0.5318,0.6041,Extension
5,0.521,0.567,Extension
6,0.5112,0.5513,Extension
7,0.5347,0.6696,Extension
8,0.6051,0.7498,Extension
9,0.5601,0.654,Extension
10,0.5533,0.6207,Extension
11,0.5298,0.609,Extension
12,0.5083,0.5748,Extension
13,0.5073,0.5611,Extension
14,0.4858,0.5298,Extension
15,0.4848,0.5191,Extension
16,0.5132,0.5738,Extension
17,0.52,0.5904,Extension
18,0.5073,0.5689,Extension
19,0.5191,0.5885,Extension
-,-,-,-
0,0.4946,0.5543,Extension
1,0.4721,0.5132,Extension
2,0.4936,0.5415,Extension
3,0.5044,0.5572,Extension
4,0.5093,0.5611,Extension
5,0.522,0.5894,Extension
6,0.5425,0.6188,Extension
7,0.522,0.6061,Extension
8,0.5572,0.6725,Extension
9,0.5445,0.65,Extension
10,0.4839,0.5494,Extension
11,0.5249,0.5787,Extension
12,0.5621,0.651,Extension
13,0.5484,0.6315,Extension
14,0.5249,0.5924,Extension
15,0.4839,0.5367,Extension
16,0.4506,0.477,Extension
17,0.4731,0.52,Extension
18,0.5464,0.6305,Extension
19,0.5748,0.6852,Extension
-,-,-,-
0,0.5552,0.6452,Extension
1,0.5181,0.5816,Extension
2,0.4448,0.4761,Extension
3,0.4311,0.4477,Extension
4,0.4976,0.5386,Extension
5,0.5503,0.6344,Extension
6,0.6588,0.8426,Extension
7,0.6706,0.828,Extension
8,0.607,0.7204,Extension
9,0.4545,0.4809,Extension
10,0.4604,0.5044,Extension
11,0.5142,0.5679,Extension
12,0.5709,0.6725,Extension
13,0.5924,0.7058,Extension
14,0.5396,0.6217,Extension
15,0.4936,0.5455,Extension
16,0.4888,0.5513,Extension
17,0.5122,0.5777,Extension
18,0.5816,0.6872,Extension
19,0.6344,0.7674,Extension
-,-,-,-
0,0.6061,0.7195,Extension
1,0.5425,0.6413,Extension
2,0.5318,0.6119,Extension
3,0.5494,0.6344,Extension
4,0.563,0.652,Extension
5,0.5894,0.696,Extension
6,0.5787,0.6921,Extension
7,0.6393,0.825,Extension
8,0.6882,0.7937,Extension
9,0.6334,0.7595,Extension
10,0.5894,0.7067,Extension
11,0.5924,0.7087,Extension
12,0.5797,0.6764,Extension
13,0.5513,0.6325,Extension
14,0.567,0.6598,Extension
15,0.5885,0.695,Extension
16,0.5894,0.6901,Extension
17,0.5865,0.6999,Extension
18,0.5767,0.6852,Extension
19,0.5279,0.6041,Extension
-,-,-,-
0,0.5484,0.6295,Extension
1,0.5689,0.6706,Extension
2,0.5738,0.6735,Extension
3,0.5924,0.7136,Extension
4,0.5924,0.7028,Extension
5,0.5484,0.6305,Extension
6,0.5533,0.6413,Extension
7,0.6285,0.7146,Extension
8,0.6686,0.8964,Extension
9,0.7664,0.9629,Extension
10,0.6549,0.8495,Extension
11,0.5924,0.7214,Extension
12,0.5621,0.654,Extension
13,0.567,0.6676,Extension
14,0.5513,0.6442,Extension
15,0.5709,0.6764,Extension
16,0.6031,0.7253,Extension
17,0.5934,0.7077,Extension
18,0.5728,0.6764,Extension
19,0.5767,0.6911,Extension
-,-,-,-
0,0.5523,0.6452,Extension
1,0.5552,0.651,Extension
2,0.5875,0.7028,Extension
3,0.5787,0.6852,Extension
4,0.5767,0.6823,Extension
5,0.6012,0.7351,Extension
6,0.5816,0.6823,Extension
7,0.5484,0.6549,Extension
8,0.5982,0.7605,Extension
9,0.6549,0.7977,Extension
10,0.6178,0.7693,Extension
11,0.6491,0.7928,Extension
12,0.6422,0.7752,Extension
13,0.563,0.6686,Extension
14,0.5122,0.5718,Extension
15,0.5191,0.5973,Extension
16,0.5503,0.6471,Extension
17,0.6295,0.7517,Extension
18,0.6608,0.8162,Extension
19,0.608,0.7458,Extension
-,-,-,-
0,0.5318,0.607,Extension
1,0.5005,0.567,Extension
2,0.4966,0.5591,Extension
3,0.5533,0.6549,Extension
4,0.6559,0.8113,Extension
5,0.6579,0.8143,Extension
6,0.608,0.7468,Extension
7,0.5963,0.6588,Extension
8,0.5758,0.7263,Extension
9,0.5386,0.6618,Extension
10,0.6256,0.7615,Extension
11,0.6628,0.8113,Extension
12,0.6432,0.7859,Extension
13,0.5934,0.7312,Extension
14,0.521,0.6061,Extension
15,0.5034,0.567,Extension
16,0.5709,0.6764,Extension
17,0.609,0.7273,Extension
18,0.6168,0.7625,Extension
19,0.5982,0.7214,Extension
-,-,-,-
0,0.5494,0.6491,Extension
1,0.5327,0.6139,Extension
2,0.5543,0.6491,Extension
3,0.6022,0.7224,Extension
4,0.5787,0.6872,Extension
5,0.5738,0.6794,Extension
6,0.5689,0.6696,Extension
7,0.5699,0.6745,Extension
8,0.652,0.7439,Extension
9,0.6588,0.8172,Extension
10,0.5885,0.6774,Extension
11,0.5543,0.6334,Extension
12,0.5797,0.6725,Extension
13,0.5855,0.6784,Extension
14,0.5875,0.7009,Extension
15,0.6246,0.7586,Extension
16,0.5963,0.7155,Extension
17,0.5562,0.65,Extension
18,0.565,0.6735,Extension
19,0.5728,0.6764,Extension
-,-,-,-
0,0.5855,0.7019,Extension
1,0.6207,0.7517,Extension
2,0.6129,0.74,Extension
3,0.5758,0.6823,Extension
4,0.5689,0.6559,Extension
5,0.5767,0.6813,Extension
6,0.566,0.6676,Extension
7,0.6325,0.7351,Extension
8,0.7498,1,Extension
