TimeCoordinate,Channel_1,Channel_2,Flexion
4,0.3685,0.3421,Flexion

5,0.3744,0.3343,Flexion

6,0.3988,0.3587,Flexion

7,0.5543,0.5425,Flexion

8,0.5591,0.6393,Flexion

9,0.652,0.6931,Flexion

10,0.4976,0.4702,Flexion

11,0.4086,0.3891,Flexion

12,0.391,0.3724,Flexion

13,0.3881,0.3724,Flexion

14,0.3851,0.3617,Flexion

15,0.3891,0.3724,Flexion

16,0.3822,0.3715,Flexion

17,0.3881,0.3861,Flexion

18,0.4096,0.4096,Flexion

19,0.4135,0.4145,Flexion
