TimeCoordinate,Channel_1,Channel_2,Extension
18,0.5259,0.4985,Extension

19,0.5191,0.4927,Extension

-,-,-,-

0,0.5073,0.4731,Extension

1,0.5132,0.4819,Extension

2,0.5171,0.4858,Extension

3,0.5298,0.4936,Extension

4,0.5826,0.521,Extension

5,0.7889,0.6706,Extension

6,0.783,0.828,Extension

7,0.5464,0.4956,Extension

8,0.5093,0.4614,Extension

9,0.5288,0.4858,Extension

10,0.5435,0.5103,Extension

11,0.5689,0.5337,Extension

12,0.5748,0.5386,Extension

13,0.5601,0.5191,Extension

14,0.5337,0.4985,Extension

15,0.5425,0.4966,Extension

16,0.5132,0.4731,Extension

17,0.5073,0.4702,Extension

18,0.5259,0.4956,Extension

19,0.5445,0.5259,Extension

-,-,-,-

0,0.5679,0.5367,Extension

1,0.5767,0.5484,Extension

2,0.5982,0.5464,Extension

3,0.5963,0.5357,Extension

4,0.607,0.5503,Extension

5,0.7537,0.7224,Extension

6,0.7654,0.7155,Extension

7,0.5386,0.4907,Extension

8,0.5122,0.4575,Extension

9,0.523,0.4819,Extension

10,0.5582,0.5152,Extension

11,0.5758,0.5415,Extension

12,0.5728,0.5415,Extension

13,0.5718,0.5327,Extension

14,0.5396,0.5015,Extension

15,0.5161,0.4751,Extension

16,0.5239,0.479,Extension

17,0.4966,0.4624,Extension

18,0.5103,0.4712,Extension

19,0.5386,0.5073,Extension

-,-,-,-

0,0.5513,0.523,Extension

1,0.563,0.5406,Extension

2,0.564,0.5279,Extension

3,0.5513,0.5269,Extension

4,0.5474,0.5259,Extension

5,0.5699,0.5464,Extension

6,0.7224,0.7204,Extension

7,0.7595,0.8983,Extension

8,0.6618,0.7048,Extension

9,0.563,0.5171,Extension

10,0.5464,0.4888,Extension

11,0.5406,0.4819,Extension

12,0.5357,0.4751,Extension

13,0.5279,0.4868,Extension

14,0.5513,0.4995,Extension

15,0.5494,0.521,Extension

16,0.5494,0.5161,Extension

17,0.5484,0.5132,Extension

18,0.5191,0.4966,Extension

19,0.4956,0.4653,Extension

-,-,-,-

0,0.4819,0.4457,Extension

1,0.4878,0.4467,Extension

2,0.5034,0.4819,Extension

3,0.5543,0.5367,Extension

4,0.5924,0.5914,Extension

5,0.6481,0.6276,Extension

6,0.7097,0.7507,Extension

7,0.7165,0.7185,Extension

8,0.5679,0.4878,Extension

9,0.4829,0.3812,Extension

10,0.4096,0.3412,Extension

11,0.4018,0.3382,Extension

12,0.4653,0.4154,Extension

13,0.5308,0.4897,Extension

14,0.5816,0.5523,Extension

15,0.6227,0.5963,Extension

16,0.6061,0.5885,Extension

17,0.5552,0.5279,Extension

18,0.4956,0.4585,Extension

19,0.436,0.3871,Extension

-,-,-,-

0,0.4115,0.3607,Extension

1,0.4418,0.3949,Extension

2,0.4946,0.4604,Extension

3,0.5503,0.521,Extension

4,0.6325,0.61,Extension

5,0.6608,0.6403,Extension

6,0.6813,0.6764,Extension

7,0.7126,0.6921,Extension

8,0.7097,0.696,Extension

9,0.5239,0.4751,Extension

10,0.4721,0.4096,Extension

11,0.4653,0.4066,Extension

12,0.4927,0.4633,Extension

13,0.5611,0.522,Extension

14,0.6207,0.5992,Extension

15,0.6481,0.6227,Extension

16,0.6315,0.608,Extension

17,0.5943,0.5572,Extension

18,0.5367,0.5142,Extension

19,0.4927,0.4545,Extension

-,-,-,-

0,0.4643,0.4135,Extension

1,0.4594,0.4203,Extension

2,0.5054,0.4682,Extension

3,0.5533,0.5171,Extension

4,0.5894,0.5601,Extension

5,0.6276,0.5973,Extension

6,0.6999,0.7957,Extension

7,0.8358,0.8974,Extension

8,0.5718,0.521,Extension

9,0.5288,0.4751,Extension

10,0.5064,0.4575,Extension

11,0.5132,0.4555,Extension

12,0.5318,0.4761,Extension

13,0.5494,0.4995,Extension

14,0.5464,0.5064,Extension

15,0.5611,0.5152,Extension

16,0.5533,0.5112,Extension

17,0.5376,0.4976,Extension

18,0.5337,0.4907,Extension

19,0.5357,0.5112,Extension

-,-,-,-

0,0.5464,0.5239,Extension

1,0.5611,0.5269,Extension

2,0.5279,0.4976,Extension

3,0.523,0.4907,Extension

4,0.5239,0.4858,Extension

5,0.5269,0.4761,Extension

6,0.5494,0.4985,Extension

7,0.5601,0.5367,Extension

8,0.7527,0.8074,Extension

9,0.7478,0.7957,Extension

10,0.6432,0.6012,Extension

11,0.5992,0.5611,Extension

12,0.5806,0.5415,Extension

13,0.5621,0.5171,Extension

14,0.5318,0.4858,Extension

15,0.5259,0.4829,Extension

16,0.5415,0.4848,Extension

17,0.5591,0.5181,Extension

18,0.563,0.5249,Extension

19,0.5758,0.5347,Extension

-,-,-,-

0,0.5875,0.5611,Extension

1,0.5875,0.5562,Extension

2,0.5699,0.5376,Extension

3,0.5337,0.5103,Extension

4,0.5132,0.4848,Extension

5,0.5308,0.4956,Extension

6,0.5386,0.5054,Extension

7,0.5787,0.5767,Extension

8,0.7722,0.7527,Extension

9,0.8534,0.8456,Extension

10,0.6628,0.5797,Extension

11,0.5894,0.5455,Extension

12,0.567,0.5103,Extension

13,0.5445,0.4848,Extension

14,0.5347,0.4839,Extension

15,0.5152,0.4614,Extension

16,0.4946,0.4555,Extension

17,0.5024,0.4506,Extension

18,0.4917,0.4467,Extension

19,0.4966,0.4506,Extension
