TimeCoordinate,Channel_1,Channel_2,Label
5,0.2092,0.1994,Flexion
6,0.2209,0.2111,Flexion
7,0.2366,0.2297,Flexion
8,0.2854,0.2942,Flexion
9,0.2991,0.2952,Flexion
10,0.217,0.2004,Flexion
11,0.1857,0.1584,Flexion
12,0.1593,0.1437,Flexion
13,0.1603,0.129,Flexion
14,0.1593,0.1329,Flexion
15,0.176,0.1593,Flexion
16,0.1975,0.1838,Flexion
17,0.1975,0.1838,Flexion
18,0.174,0.1535,Flexion
19,0.1554,0.129,Flexion
-,-,-,-
0,0.1544,0.1271,Flexion
1,0.1623,0.1359,Flexion
2,0.1799,0.1632,Flexion
3,0.1984,0.1848,Flexion
4,0.1916,0.1779,Flexion
5,0.1662,0.1447,Flexion
6,0.1574,0.129,Flexion
7,0.2542,0.216,Flexion
8,1,1,Flexion
9,1,1,Flexion
10,1,1,Flexion
11,0.6725,0.7703,Flexion
12,0.1838,0.1623,Flexion
13,0.1554,0.132,Flexion
14,0.1593,0.1349,Flexion
15,0.1701,0.1515,Flexion
16,0.1799,0.1642,Flexion
17,0.1877,0.1701,Flexion
18,0.173,0.1574,Flexion
19,0.1603,0.1388,Flexion
-,-,-,-
0,0.1603,0.1388,Flexion
1,0.173,0.1525,Flexion
2,0.173,0.1554,Flexion
3,0.1701,0.1496,Flexion
4,0.174,0.1466,Flexion
5,0.1711,0.1584,Flexion
6,0.2033,0.2014,Flexion
7,0.2053,0.1984,Flexion
8,0.2395,0.2542,Flexion
9,0.2473,0.2483,Flexion
10,0.2229,0.1955,Flexion
11,0.1789,0.1515,Flexion
12,0.1662,0.1427,Flexion
13,0.172,0.1505,Flexion
14,0.176,0.1554,Flexion
15,0.1769,0.1574,Flexion
16,0.1691,0.1437,Flexion
17,0.1623,0.1349,Flexion
18,0.1691,0.1457,Flexion
19,0.1711,0.1515,Flexion
-,-,-,-
0,0.174,0.1544,Flexion
1,0.1789,0.1584,Flexion
2,0.1779,0.1574,Flexion
3,0.176,0.1466,Flexion
4,0.1955,0.1584,Flexion
5,0.2375,0.1896,Flexion
6,0.2639,0.26,Flexion
7,0.3109,0.2884,Flexion
8,0.2131,0.1916,Flexion
9,0.1838,0.1642,Flexion
10,0.172,0.1427,Flexion
11,0.1642,0.1359,Flexion
12,0.173,0.1535,Flexion
13,0.1769,0.1564,Flexion
14,0.175,0.1535,Flexion
15,0.1789,0.1554,Flexion
16,0.1808,0.1574,Flexion
17,0.1691,0.1457,Flexion
18,0.1681,0.1457,Flexion
19,0.173,0.1486,Flexion
-,-,-,-
0,0.1769,0.1544,Flexion
1,0.176,0.1505,Flexion
2,0.1799,0.1535,Flexion
3,0.1838,0.1623,Flexion
4,0.1769,0.1544,Flexion
5,0.1652,0.1398,Flexion
6,0.173,0.1359,Flexion
7,0.1877,0.1701,Flexion
